id,mes,ano,bairro,morador,casa,lat_campo,lon_campo,point_id,point_year_id,distancia_casa_mata,lta,area,tipo,local,especie,total,femeas,machos,dout_mest
363,01/01/1993,1993,Cascata,Valverde,,-22.60384,-43.71932,22,22_1993,0-200,,,manual,parede_interna,L. migonei,5,2,3,mestrado
364,01/01/1993,1993,Cascata,Valverde,,-22.60384,-43.71932,22,22_1993,0-200,,,luminosa,arvore,L. intermedia,2,0,2,mestrado
365,01/01/1993,1993,Cascata,Valverde,,-22.60384,-43.71932,22,22_1993,0-200,,,manual,parede_externa,L. intermedia,389,32,357,mestrado
366,01/01/1993,1993,Cascata,Valverde,,-22.60384,-43.71932,22,22_1993,0-200,,,manual,parede_externa,L. migonei,7,1,6,mestrado
367,01/01/1993,1993,Cascata,Valverde,,-22.60384,-43.71932,22,22_1993,0-200,,,manual,parede_externa,L. fischeri,1,1,0,mestrado
368,01/01/1993,1993,Cascata,Valverde,,-22.60384,-43.71932,22,22_1993,0-200,,,manual,bananal_isca_humana,L. sp,1,1,0,mestrado
369,01/01/1993,1993,Cascata,Hospital,,-22.60011,-43.718692,25,25_1993,0-200,,,luminosa,bananal_tronco,L. intermedia,10,2,8,mestrado
370,01/01/1993,1993,Cascata,Hospital,,-22.60011,-43.718692,25,25_1993,0-200,,,luminosa,bananal_tronco,L. migonei,1,0,1,mestrado
371,01/01/1993,1993,Cascata,Hospital,,-22.60011,-43.718692,25,25_1993,0-200,,,luminosa,bananal_tronco,L. fischeri,1,1,0,mestrado
372,01/01/1993,1993,Cascata,Hospital,,-22.60011,-43.718692,25,25_1993,0-200,,,manual,floresta_isca_humana,L. sp,1,1,0,mestrado
373,01/01/1993,1993,Cascata,Hospital,,-22.60011,-43.718692,25,25_1993,0-200,,,luminosa,floresta_tronco,L. migonei,1,1,0,mestrado
374,01/01/1993,1993,Cascata,Hospital,,-22.60011,-43.718692,25,25_1993,0-200,,,luminosa,floresta_tronco,L. fischeri,1,1,0,mestrado
375,01/01/1993,1993,Cascata,Hospital,,-22.60011,-43.718692,25,25_1993,0-200,,,luminosa,floresta_tronco,L. sp,1,1,0,mestrado
376,01/02/1993,1993,Cascata,Valverde,,-22.60384,-43.71932,22,22_1993,0-200,,,manual,parede_interna,L. intermedia,3,0,3,mestrado
