id,mes,ano,bairro,morador,casa,lat_campo,lon_campo,point_id,point_year_id,distancia_casa_mata,lta,area,tipo,local,especie,total,femeas,machos,dout_mest
229,01/11/2002,2002,Cascata,D1 Valter,adj,-22.60384,-43.71932,22,22_2002,500-1000,,semiurbano,,,L. migonei,1,1,0,doutorado
230,01/12/2002,2002,Cascata,D1 Valter,adj,-22.60384,-43.71932,22,22_2002,500-1000,,semiurbano,,,L. intermedia,141,62,79,doutorado
231,01/12/2002,2002,Cascata,D1 Valter,adj,-22.60384,-43.71932,22,22_2002,500-1000,,semiurbano,,,L. migonei,27,23,4,doutorado
232,01/12/2002,2002,Cascata,D1 Valter,adj,-22.60384,-43.71932,22,22_2002,500-1000,,semiurbano,,,L. antunesi,1,1,0,doutorado
233,01/07/2002,2002,Cascata,D1 Valter,adj,-22.60384,-43.71932,22,22_2002,500-1000,,semiurbano,,,L. intermedia,54,18,36,doutorado
234,01/08/2002,2002,Cascata,D1 Valter,adj,-22.60384,-43.71932,22,22_2002,500-1000,,semiurbano,,,L. intermedia,551,265,286,doutorado
235,01/08/2002,2002,Cascata,D1 Valter,adj,-22.60384,-43.71932,22,22_2002,500-1000,,semiurbano,,,L. migonei,34,6,28,doutorado
236,01/08/2002,2002,Cascata,D1 Valter,adj,-22.60384,-43.71932,22,22_2002,500-1000,,semiurbano,,,L. fischeri,3,3,0,doutorado
237,01/08/2002,2002,Cascata,D1 Valter,adj,-22.60384,-43.71932,22,22_2002,500-1000,,semiurbano,,,L. schreiberi,1,0,1,doutorado
238,01/08/2002,2002,Cascata,D1 Valter,adj,-22.60384,-43.71932,22,22_2002,500-1000,,semiurbano,,,L. pelloni,1,0,1,doutorado
239,01/09/2002,2002,Cascata,D1 Valter,adj,-22.60384,-43.71932,22,22_2002,500-1000,,semiurbano,,,L. intermedia,30,30,0,doutorado
240,01/09/2002,2002,Cascata,D1 Valter,adj,-22.60384,-43.71932,22,22_2002,500-1000,,semiurbano,,,L. migonei,1,1,0,doutorado
241,01/09/2002,2002,Cascata,D1 Valter,adj,-22.60384,-43.71932,22,22_2002,500-1000,,semiurbano,,,L. whitmani,1,1,0,doutorado
242,01/10/2002,2002,Cascata,D1 Valter,adj,-22.60384,-43.71932,22,22_2002,500-1000,,semiurbano,,,L. intermedia,53,34,19,doutorado
243,01/10/2002,2002,Cascata,D1 Valter,adj,-22.60384,-43.71932,22,22_2002,500-1000,,semiurbano,,,L. fischeri,1,1,0,doutorado
244,01/11/2002,2002,Cascata,D1 Valter,adj,-22.60384,-43.71932,22,22_2002,500-1000,,semiurbano,,,L. intermedia,80,8,72,doutorado
245,01/11/2002,2002,Cascata,D1 Valter,adj,-22.60384,-43.71932,22,22_2002,500-1000,,semiurbano,,,L. migonei,2,2,0,doutorado
246,01/12/2002,2002,Cascata,D1 Valter,adj,-22.60384,-43.71932,22,22_2002,500-1000,,semiurbano,,,L. intermedia,148,70,78,doutorado
247,01/12/2002,2002,Cascata,D1 Valter,adj,-22.60384,-43.71932,22,22_2002,500-1000,,semiurbano,,,L. migonei,25,13,12,doutorado
248,01/12/2002,2002,Cascata,D1 Valter,adj,-22.60384,-43.71932,22,22_2002,500-1000,,semiurbano,,,L. fischeri,3,1,2,doutorado
249,01/07/2002,2002,Jardim Nova Era,Geraldo,CT_SU,-22.59394,-43.683768,48,48_2002,0-200,não_houve,semiurbano,,,negativa,0,0,0,doutorado
250,01/08/2002,2002,Jardim Nova Era,Geraldo,CT_SU,-22.59394,-43.683768,48,48_2002,0-200,não_houve,semiurbano,,,L. intermedia,5,5,0,doutorado
251,01/09/2003,2003,Jardim Nova Era,Geraldo,CT_SU,-22.59394,-43.683768,48,48_2003,0-200,não_houve,semiurbano,manual,arvore,L. intermedia,15,12,3,doutorado
252,01/09/2003,2002,Jardim Nova Era,Geraldo,CT_SU,-22.59394,-43.683768,48,48_2002,0-200,não_houve,semiurbano,,,B. nitzulescui,1,0,1,doutorado
253,01/10/2002,2002,Jardim Nova Era,Geraldo,CT_SU,-22.59394,-43.683768,48,48_2002,0-200,não_houve,semiurbano,,,L. intermedia,13,10,3,doutorado
254,01/11/2002,2002,Jardim Nova Era,Geraldo,CT_SU,-22.59394,-43.683768,48,48_2002,0-200,não_houve,semiurbano,,,L. intermedia,18,2,16,doutorado
255,01/11/2002,2002,Jardim Nova Era,Geraldo,CT_SU,-22.59394,-43.683768,48,48_2002,0-200,não_houve,semiurbano,,,L. migonei,2,0,2,doutorado
256,01/12/2002,2002,Jardim Nova Era,Geraldo,CT_SU,-22.59394,-43.683768,48,48_2002,0-200,não_houve,semiurbano,,,L. intermedia,3,3,0,doutorado
257,01/12/2002,2002,Jardim Nova Era,Geraldo,CT_SU,-22.59394,-43.683768,48,48_2002,0-200,não_houve,semiurbano,,,B. brumpti,1,1,0,doutorado
258,01/07/2002,2002,Cascata,D1 Valter,adj,-22.60384,-43.71932,22,22_2002,500-1000,,semiurbano,,,L. intermedia,299,139,160,doutorado
259,01/07/2002,2002,Cascata,D1 Valter,adj,-22.60384,-43.71932,22,22_2002,500-1000,,semiurbano,,,L. fischeri,1,1,0,doutorado
260,01/07/2002,2002,Cascata,D1 Valter,adj,-22.60384,-43.71932,22,22_2002,500-1000,,semiurbano,,,L. whitmani,1,0,1,doutorado
261,01/08/2002,2002,Cascata,D1 Valter,adj,-22.60384,-43.71932,22,22_2002,500-1000,,semiurbano,,,L. intermedia,536,307,229,doutorado
262,01/08/2002,2002,Cascata,D1 Valter,adj,-22.60384,-43.71932,22,22_2002,500-1000,,semiurbano,,,L. migonei,8,5,3,doutorado
263,01/09/2002,2002,Cascata,D1 Valter,adj,-22.60384,-43.71932,22,22_2002,500-1000,,semiurbano,manual,BN/CR,L. intermedia,51,25,26,doutorado
264,01/09/2002,2002,Cascata,D1 Valter,adj,-22.60384,-43.71932,22,22_2002,500-1000,,semiurbano,manual,BN/CR,L. migonei,3,1,2,doutorado
265,01/09/2002,2002,Cascata,D1 Valter,adj,-22.60384,-43.71932,22,22_2002,500-1000,,semiurbano,luminosa,bananal,L. intermedia,855,372,483,doutorado
266,01/09/2002,2002,Cascata,D1 Valter,adj,-22.60384,-43.71932,22,22_2002,500-1000,,semiurbano,,,L. migonei,20,4,16,doutorado
267,01/09/2002,2002,Cascata,D1 Valter,adj,-22.60384,-43.71932,22,22_2002,500-1000,,semiurbano,,,L. fischeri,2,2,0,doutorado
268,01/09/2002,2002,Cascata,D1 Valter,adj,-22.60384,-43.71932,22,22_2002,500-1000,,semiurbano,,,L. whitmani,1,0,1,doutorado
269,01/10/2002,2002,Cascata,D1 Valter,adj,-22.60384,-43.71932,22,22_2002,500-1000,,semiurbano,,,L. intermedia,737,245,492,doutorado
270,01/10/2002,2002,Cascata,D1 Valter,adj,-22.60384,-43.71932,22,22_2002,500-1000,,semiurbano,,,L. migonei,20,15,5,doutorado
271,01/10/2002,2002,Cascata,D1 Valter,adj,-22.60384,-43.71932,22,22_2002,500-1000,,semiurbano,,,L. fischeri,3,3,0,doutorado
272,01/10/2002,2002,Cascata,D1 Valter,adj,-22.60384,-43.71932,22,22_2002,500-1000,,semiurbano,,,L. whitmani,1,1,0,doutorado
273,01/11/2002,2002,Cascata,D1 Valter,adj,-22.60384,-43.71932,22,22_2002,500-1000,,semiurbano,,,L. intermedia,77,24,53,doutorado
274,01/11/2002,2002,Cascata,D1 Valter,adj,-22.60384,-43.71932,22,22_2002,500-1000,,semiurbano,,,L. migonei,6,6,0,doutorado
275,01/11/2002,2002,Cascata,D1 Valter,adj,-22.60384,-43.71932,22,22_2002,500-1000,,semiurbano,,,L. fischeri,1,1,0,doutorado
276,01/12/2002,2002,Cascata,D1 Valter,adj,-22.60384,-43.71932,22,22_2002,500-1000,,semiurbano,,,L. intermedia,653,151,502,doutorado
277,01/12/2002,2002,Cascata,D1 Valter,adj,-22.60384,-43.71932,22,22_2002,500-1000,,semiurbano,,,L. migonei,10,9,1,doutorado
278,01/12/2002,2002,Cascata,D1 Valter,adj,-22.60384,-43.71932,22,22_2002,500-1000,,semiurbano,,,L. fischeri,3,1,2,doutorado
279,01/12/2002,2002,Cascata,D1 Valter,adj,-22.60384,-43.71932,22,22_2002,500-1000,,semiurbano,,,L. sordelli,1,1,0,doutorado
280,01/12/2002,2002,Cascata,D1 Valter,adj,-22.60384,-43.71932,22,22_2002,500-1000,,semiurbano,,,B. nitzulescui,3,0,3,doutorado
281,01/09/1992,1992,Cascata,Valverde,,-22.60384,-43.71932,22,22_1992,0-200,,,manual,intra_isca_humana,L. whitmani,1,1,0,mestrado
282,01/09/1992,1992,Cascata,Valverde,,-22.60384,-43.71932,22,22_1992,0-200,,,luminosa,intra_teto,L. intermedia,134,29,105,mestrado
283,01/09/1992,1992,Cascata,Valverde,,-22.60384,-43.71932,22,22_1992,0-200,,,luminosa,intra_teto,L. migonei,2,0,2,mestrado
