point_year_id,forest,pasture,agripasture,nonveg,urban,water
22_1992,0.28661087866108786,0.5638075313807531,0.12343096234309624,0.02615062761506276,0,0
25_1992,0.39473684210526316,0.45052631578947366,0.12842105263157894,0.02631578947368421,0,0
22_1993,0.27615062761506276,0.5700836820083682,0.14330543933054393,0.010460251046025104,0,0
25_1993,0.3873684210526316,0.4473684210526316,0.15473684210526314,0.010526315789473684,0,0
3_2001,0.3403582718651212,0.4868282402528978,0.17281348788198103,0,0,0
5_2001,0.14662447257383968,0.5675105485232067,0.2858649789029536,0,0,0
1_2002,0.590285110876452,0.3347412882787751,0.07497360084477296,0,0,0
2_2002,0.7012578616352201,0.21174004192872117,0.0870020964360587,0,0,0
3_2002,0.34141201264488935,0.4868282402528978,0.17175974710221287,0,0,0
4_2002,0.06398104265402843,0.7440758293838863,0.1481042654028436,0.04383886255924171,0,0
5_2002,0.1550632911392405,0.5632911392405063,0.28164556962025317,0,0,0
6_2002,0.82,0.1,0.08,0,0,0
7_2002,0.0958904109589041,0.7449947312961012,0.15911485774499473,0,0,0
8_2002,0.07845303867403315,0.5524861878453039,0.26077348066298345,0.020994475138121547,0.08729281767955802,0
9_2002,0.5546218487394958,0.31932773109243695,0.12605042016806722,0,0,0
10_2002,0.7705263157894737,0.16526315789473683,0.06421052631578947,0,0,0
11_2002,0.7823343848580442,0.15562565720294427,0.06203995793901157,0,0,0
12_2002,0.4679284963196635,0.38380651945320715,0.14826498422712933,0,0,0
13_2002,0.15247108307045215,0.6267087276550999,0.22082018927444794,0,0,0
14_2002,0.6505771248688352,0.2812172088142707,0.06820566631689402,0,0,0
15_2002,0.5021052631578947,0.391578947368421,0.10631578947368421,0,0,0
16_2002,0.5966209081309398,0.293558606124604,0.10982048574445617,0,0,0
17_2002,0.8502109704641351,0.04219409282700422,0.10759493670886076,0,0,0
18_2002,0.5726315789473684,0.3042105263157895,0.1231578947368421,0,0,0
19_2002,0.17684210526315788,0.41368421052631577,0.34421052631578947,0.008421052631578947,0.056842105263157895,0
20_2002,0.02736842105263158,0.7347368421052631,0.2,0.008421052631578947,0.029473684210526315,0
21_2002,0.23473684210526316,0.28,0.35368421052631577,0.008421052631578947,0.1231578947368421,0
22_2002,0.2301255230125523,0.6516736401673641,0.10669456066945607,0.011506276150627616,0,0
23_2002,0.32105263157894737,0.24105263157894738,0.20421052631578948,0,0.2336842105263158,0
24_2002,0.10137275607180571,0.36430834213305174,0.2565997888067582,0,0.27771911298838436,0
26_2002,0.3619047619047619,0.4835978835978836,0.14285714285714285,0.01164021164021164,0,0
27_2002,0.004201680672268907,0.40756302521008403,0.3067226890756303,0.0031512605042016808,0.27836134453781514,0
28_2002,0.3150684931506849,0.22339304531085352,0.1285563751317176,0,0.3329820864067439,0
29_2002,0,0.39473684210526316,0.27473684210526317,0.004210526315789474,0.3263157894736842,0
30_2002,0.14330874604847207,0.2834562697576396,0.17281348788198103,0,0.40042149631190727,0
31_2002,0.2431578947368421,0.24842105263157896,0.11473684210526315,0,0.3936842105263158,0
32_2002,0.30736842105263157,0.42736842105263156,0.23894736842105263,0.018947368421052633,0.007368421052631579,0
33_2002,0.2502628811777077,0.3732912723449001,0.27024185068349105,0.019978969505783387,0.08622502628811778,0
34_2002,0.24894957983193278,0.36134453781512604,0.28256302521008403,0.02100840336134454,0.0861344537815126,0
35_2002,0.22573839662447256,0.3681434599156118,0.3037974683544304,0.015822784810126583,0.08649789029535865,0
36_2002,0.2415966386554622,0.21323529411764705,0.24369747899159663,0.005252100840336135,0.296218487394958,0
37_2002,0.07383966244725738,0.1308016877637131,0.16561181434599156,0.005274261603375527,0.6244725738396625,0
38_2002,0.4468980021030494,0.17770767613038907,0.26393270241850686,0.026288117770767613,0.07781282860147214,0.007360672975814932
39_2002,0.323189926547744,0.15634837355718784,0.24449108079748164,0.02938090241343127,0.2465897166841553,0
40_2002,0.1722689075630252,0.17331932773109243,0.20903361344537816,0.014705882352941176,0.43067226890756305,0
41_2002,0.12343096234309624,0.25418410041841005,0.19874476987447698,0.006276150627615063,0.41736401673640167,0
42_2002,0.010471204188481676,0.13403141361256546,0.2094240837696335,0.031413612565445025,0.6146596858638743,0
43_2002,0.04302203567681007,0.3588667366211962,0.2203567681007345,0.001049317943336831,0.37670514165792235,0
44_2002,0.3445732349841939,0.3761854583772392,0.2792413066385669,0,0,0
45_2002,0.21285563751317177,0.5173867228661749,0.2697576396206533,0,0,0
46_2002,0.18277310924369747,0.5346638655462185,0.28256302521008403,0,0,0
47_2002,0.15966386554621848,0.5052521008403361,0.33508403361344535,0,0,0
48_2002,0.45903361344537813,0.23949579831932774,0.1953781512605042,0.005252100840336135,0.10084033613445378,0
49_2002,0.2326315789473684,0.42736842105263156,0.34,0,0,0
50_2002,0.28180862250262884,0.3922187171398528,0.32597266035751843,0,0,0
51_2002,0.3111814345991561,0.39135021097046413,0.2974683544303797,0,0,0
44_2003,0.3561643835616438,0.4035827186512118,0.24025289778714437,0,0,0
48_2003,0.46638655462184875,0.25,0.18172268907563024,0,0.10189075630252101,0
