id,forest,pasture,agripasture,nonveg,urban
22_1992,0.17218543046357615,0.7284768211920529,0.09933774834437085,0,0
25_1992,0.4342105263157895,0.28289473684210525,0.125,0.15789473684210525,0
22_1993,0.17218543046357615,0.7218543046357616,0.10596026490066225,0,0
25_1993,0.40789473684210525,0.3223684210526316,0.21052631578947367,0.05921052631578947,0
3_2001,0.23529411764705882,0.6078431372549019,0.1568627450980392,0,0
5_2001,0.039473684210526314,0.7894736842105263,0.17105263157894737,0,0
1_2002,0.8026315789473685,0.10526315789473684,0.09210526315789473,0,0
2_2002,0.8618421052631579,0.07236842105263158,0.06578947368421052,0,0
3_2002,0.23529411764705882,0.5032679738562091,0.26143790849673204,0,0
4_2002,0.24342105263157895,0.5197368421052632,0.21052631578947367,0.02631578947368421,0
5_2002,0.039473684210526314,0.75,0.21052631578947367,0,0
6_2002,0.6466666666666666,0.19333333333333333,0.16,0,0
7_2002,0.1986754966887417,0.6887417218543046,0.11258278145695365,0,0
8_2002,0.13157894736842105,0.28289473684210525,0.48026315789473684,0.046052631578947366,0.05921052631578947
9_2002,0.5761589403973509,0.3509933774834437,0.0728476821192053,0,0
10_2002,0.9210526315789473,0.03289473684210526,0.046052631578947366,0,0
11_2002,0.7066666666666667,0.17333333333333334,0.12,0,0
12_2002,0.43137254901960786,0.43137254901960786,0.13725490196078433,0,0
13_2002,0.11464968152866242,0.4585987261146497,0.4267515923566879,0,0
14_2002,0.5695364238410596,0.3841059602649007,0.046357615894039736,0,0
15_2002,0.40397350993377484,0.4370860927152318,0.15894039735099338,0,0
16_2002,0.34868421052631576,0.4868421052631579,0.16447368421052633,0,0
17_2002,0.9150326797385621,0,0.08496732026143791,0,0
18_2002,0.46710526315789475,0.18421052631578946,0.34868421052631576,0,0
19_2002,0.15483870967741936,0.18064516129032257,0.3548387096774194,0.01935483870967742,0.2903225806451613
20_2002,0,0.6052631578947368,0.39473684210526316,0,0
21_2002,0.18064516129032257,0.23225806451612904,0.432258064516129,0,0.15483870967741936
22_2002,0.17218543046357615,0.7218543046357616,0.10596026490066225,0,0
23_2002,0.26490066225165565,0.052980132450331126,0.1390728476821192,0,0.543046357615894
24_2002,0,0.25,0.23684210526315788,0,0.5131578947368421
26_2002,0.36423841059602646,0.36423841059602646,0.1986754966887417,0.0728476821192053,0
27_2002,0,0.47058823529411764,0.46405228758169936,0,0.06535947712418301
28_2002,0.2549019607843137,0.1437908496732026,0.026143790849673203,0,0.5751633986928104
29_2002,0,0.38064516129032255,0.3870967741935484,0,0.23225806451612904
30_2002,0,0.21333333333333335,0.10666666666666667,0,0.68
31_2002,0.11688311688311688,0.16883116883116883,0.03896103896103896,0,0.6753246753246753
32_2002,0.18421052631578946,0.4868421052631579,0.2631578947368421,0.06578947368421052,0
33_2002,0.09271523178807947,0.19205298013245034,0.46357615894039733,0.046357615894039736,0.2052980132450331
34_2002,0.13245033112582782,0.11258278145695365,0.5695364238410596,0.046357615894039736,0.1390728476821192
35_2002,0.09740259740259741,0.06493506493506493,0.4155844155844156,0.045454545454545456,0.37662337662337664
36_2002,0.11920529801324503,0.17880794701986755,0.4105960264900662,0.033112582781456956,0.2582781456953642
37_2002,0,0.11333333333333333,0.13333333333333333,0,0.7533333333333333
38_2002,0.4266666666666667,0.22666666666666666,0.3466666666666667,0,0
39_2002,0.38,0.013333333333333334,0.34,0,0.26666666666666666
40_2002,0.08387096774193549,0.13548387096774195,0.2838709677419355,0,0.4967741935483871
41_2002,0.039735099337748346,0.18543046357615894,0.17880794701986755,0,0.5960264900662252
42_2002,0,0.06622516556291391,0.046357615894039736,0,0.8874172185430463
43_2002,0,0.152317880794702,0.2251655629139073,0,0.6225165562913907
44_2002,0.6,0.06,0.34,0,0
45_2002,0.07947019867549669,0.4503311258278146,0.47019867549668876,0,0
46_2002,0.09271523178807947,0.3576158940397351,0.5496688741721855,0,0
47_2002,0.28104575163398693,0.16993464052287582,0.5490196078431373,0,0
48_2002,0.3933333333333333,0.35333333333333333,0.22,0.02,0.013333333333333334
49_2002,0.1118421052631579,0.4605263157894737,0.4276315789473684,0,0
50_2002,0.2802547770700637,0.33121019108280253,0.3885350318471338,0,0
51_2002,0.2012987012987013,0.33766233766233766,0.461038961038961,0,0
44_2003,0.6066666666666667,0.06666666666666667,0.32666666666666666,0,0
48_2003,0.3933333333333333,0.37333333333333335,0.22,0,0.013333333333333334
